geo,Year,GDP_per_Capita,Unemployment_Rate,Internet_Access,Agriculture_Share,VAT_Gap,CPI,VAT_Rate
AT,2021,45380,6.2,95,1.63,2.8,74,20
BE,2021,43680,6.3,91.97,0.96,4.6,73,21
BG,2021,10960,5.2,83.53,6.46,4.9,42,20
CY,2021,27850,7.2,93.41,2.37,2.7,53,19
CZ,2021,23430,2.8,89.31,3.55,5.0,54,21
DE,2021,44910,3.6,91.88,1.22,3.6,80,19
DK,2021,58640,5.1,96.14,2.02,2.5,88,25
EE,2021,23650,6.2,91.82,3.88,1.4,74,20
EL,2021,17350,14.7,85.07,4.47,17.8,49,24
ES,2021,26090,14.9,95.92,3.99,0.8,61,21
FI,2021,44890,7.7,96.56,2.97,0.4,88,24
FR,2021,36920,7.9,93.33,2.20,5.5,71,20
HR,2021,15070,7.5,86.09,4.79,5.7,47,25
HU,2021,16090,4,90.78,5.11,4.4,43,27
IE,2021,88070,6.2,97.5,1.53,4.4,74,23
IT,2021,31160,9.5,90.49,2.85,10.8,56,22
LT,2021,20190,7.1,86.55,5.47,14.3,61,21
LU,2021,113920,5.3,99.18,0.36,1.5,81,17
LV,2021,17130,7.6,91.15,7.16,5.8,59,21
MT,2021,32210,3.8,90.54,1.13,18.1,54,18
NL,2021,50850,4.2,98.56,2.54,-0.2,82,21
PL,2021,15770,3.4,92.42,3.27,3.3,56,23
PT,2021,20800,6.7,87.34,3.46,3.3,62,23
RO,2021,12590,5.6,88.74,6.07,36.7,45,19
SE,2021,51260,8.9,93.23,1.85,1.0,85,25
SI,2021,24690,4.8,93.04,1.96,3.2,57,22
SK,2021,18730,6.8,89.96,3.42,10.6,52,20
