Country,Year,ShadowEconomy,VAT_Compliance_Gap,VAT_Revenue_Perc_GDP
Austria,2023,6.88,1.02477244,8.01
Belgium,2023,16.37,12.26428484,6.2700000000000005
Bulgaria,2023,33.93,8.577100742,8.79
Croatia,2023,30.58,7.69515684,13.43
Cyprus,2023,24.34,3.291435163,9.5
Czechia,2023,13.84,8.045505037,7.52
Denmark,2023,9.91,8.853802715,9.1
Estonia,2023,22.94,10.27401732,9.1
Finland,2023,10.91,3.002531048,9.18
France,2023,14.39,5.555592275,7.26
Germany,2023,9.39,9.741267376,6.85
Greece,2023,20.83,11.36113653,8.77
Hungary,2023,26.62,7.435078922,9.39
Ireland,2023,9.99,8.315415683,3.9899999999999998
Italy,2023,20.75,15.04819844,6.58
Latvia,2023,20.14,5.411164416,9.66
Lithuania,2023,22.6,15.05636345,8.01
Luxembourg,2023,8.66,0.185810224,6.51
Malta,2023,23.49,24.2140188,6.14
Netherlands,2023,8.38,7.011792482,7.109999999999999
Poland,2023,22.27,15.97013406,7.34
Portugal,2023,16.23,3.603437697,9.01
Romania,2023,30.14,30.02021896,6.609999999999999
Slovakia,2023,13.79,10.49022841,8.01
Slovenia,2023,22.52,4.881820944,8.05
Spain,2023,16.39,7.649051031,6.4
Sweden,2023,10.77,5.333801392,8.9
