country_code,vat_gap,shadow_2022,internet_banking_2023
AT,1.0,6.6,77.17
BE,12.3,16.0,79.60
BG,8.6,33.1,23.43
CY,3.3,23.9,70.86
CZ,8.0,13.5,79.84
DE,9.7,8.8,57.22
DK,8.9,9.7,96.22
EE,10.3,22.7,84.89
EL,11.4,20.93,52.01
ES,7.6,15.8,71.45
FI,3.0,10.8,94.48
FR,5.6,14.2,72.41
HR,7.7,29.7,61.88
HU,7.4,25.4,65.52
IE,8.3,10.1,83.77
IT,15.0,20.3,51.55
LT,15.1,22.4,75.73
LU,0.18,8.3,71.14
LV,5.4,19.9,83.74
MT,24.2,23.4,67.38
NL,7.0,8.2,95.13
PL,16.0,21.9,59.09
PT,3.6,15.7,58.88
RO,30.0,29.0,21.89
SE,5.3,10.8,84.49
SI,4.9,22.1,60.69
SK,10.5,13.1,57.72
