country_code,vat_gap,shadow_2022,cpi_2022,desi_2022
AT,1.0,6.6,71,54.7
BE,12.3,16.0,73,58.7
BG,8.6,33.1,43,37.7
CY,3.3,23.9,52,54.2
CZ,8.0,13.5,56,49.7
DE,9.7,8.8,79,52.9
DK,8.9,9.7,90,69.3
EE,10.3,22.7,74,65.2
EL,11.4,20.93,52,38.9
ES,7.6,15.8,60,60.8
FI,3.0,10.8,87,69.6
FR,5.6,14.2,72,53.3
HR,7.7,29.7,50,49.2
HU,7.4,25.4,42,43.3
IE,8.3,10.1,77,62.7
IT,15.0,20.3,56,49.3
LT,15.1,22.4,62,53.5
LU,0.18,8.3,77,53.8
LV,5.4,19.9,59,49.7
MT,24.2,23.4,51,55.6
NL,7.0,8.2,80,67.4
PL,16.0,21.9,55,42.4
PT,3.6,15.7,62,52.1
RO,30.0,29.0,46,30.6
SE,5.3,10.8,83,65.2
SI,4.9,22.1,56,53.4
SK,10.5,13.1,53,43.4
