"Country","VAT_Comp","ShadowEc","VAT_Rever","CPI_Score","Cluster_KMeans","Cluster_HC"
"Austria",1.024772,6.88,8.01,71,"1","1"
"Belgium",12.26428,16.37,6.27,73,"1","2"
"Denmark",8.853803,9.91,9.1,90,"1","1"
"Finland",3.002531,10.91,9.18,87,"1","1"
"France",5.555592,14.39,7.26,71,"1","2"
"Germany",9.741267,9.39,6.85,78,"1","1"
"Ireland",8.315416,9.99,3.9899999,77,"1","1"
"Luxembourg",0.18581,8.66,6.51,78,"1","1"
"Netherlands",7.011792,8.38,7.1099999,79,"1","1"
"Sweden",5.333801,10.77,8.9,82,"1","1"
"Bulgaria",8.577101,33.93,8.79,45,"2","2"
"Croatia",7.695157,30.58,13.43,50,"2","2"
"Cyprus",3.291435,24.34,9.5,53,"2","2"
"Czechia",8.045505,13.84,7.52,57,"2","2"
"Estonia",10.27402,22.94,9.1,76,"2","2"
"Greece",11.36114,20.83,8.77,49,"2","2"
"Hungary",7.435079,26.62,9.39,42,"2","2"
"Italy",15.0482,20.75,6.58,56,"2","2"
"Latvia",5.411164,20.14,9.66,60,"2","2"
"Lithuania",15.05636,22.6,8.01,61,"2","2"
"Malta",24.21402,23.49,6.14,51,"2","2"
"Poland",15.97013,22.27,7.34,54,"2","2"
"Portugal",3.603438,16.23,9.01,61,"2","2"
"Romania",30.02022,30.14,6.6099999,46,"2","2"
"Slovakia",10.49023,13.79,8.01,54,"2","2"
"Slovenia",4.881821,22.52,8.05,56,"2","2"
"Spain",7.649051,16.39,6.4,60,"2","2"
