"country","year","mimic","vat_gap","self_employed","admin_capacity","gig_economy","gdp_growth","digital_payments","country_id","divergence_gap","absolute_diff","mimic_vat_ratio","nvt_share_raw","time_trend","covid_dummy","country_group"
"Austria",2015,8.2,9.8,10.8,84,6.5,1,52,1,-0.176279242337992,-1.6,0.828282828282828,0,0,0,"Other"
"Austria",2016,7.8,8.9,10.6,84.5,7,2.2,55,1,-0.130361817863244,-1.1,0.866666666666667,0,1,0,"Other"
"Austria",2017,7.1,8.2,10.4,85,7.5,2.5,58,1,-0.142174488780542,-1.1,0.855421686746988,0,2,0,"Other"
"Austria",2018,6.72,7.6,10.2,85.2,8,2.4,61,1,-0.121360857004268,-0.88,0.872727272727273,0,3,0,"Other"
"Austria",2019,6.1,6.8,10,85.5,8.5,1.5,64,1,-0.106972119552168,-0.7,0.884057971014493,0,4,0,"Other"
"Austria",2020,7.23,4.2,9.9,85.8,9,-6.7,67,1,0.533360493199043,3.03,1.68139534883721,41.9087136929461,5,1,"Other"
"Austria",2021,6.9,3.4,9.8,86,9.5,4.5,70,1,0.693147180559945,3.5,1.97142857142857,50.7246376811594,6,1,"Other"
"Austria",2022,7.05,3,9.7,86.2,10,4.8,73,1,0.835710245214816,4.05,2.2741935483871,57.4468085106383,7,1,"Other"
"Belgium",2015,16.2,12.3,13.2,82,7.2,2,58,2,0.273468635201726,3.9,1.30645161290323,24.0740740740741,0,0,"Other"
"Belgium",2016,16.1,11.8,13.1,82.3,7.7,1.5,61,2,0.308472842120855,4.3,1.35294117647059,26.7080745341615,1,0,"Other"
"Belgium",2017,15.6,11.2,13,82.6,8.2,1.7,64,2,0.328857986635967,4.4,1.38053097345133,28.2051282051282,2,0,"Other"
"Belgium",2018,15.42,10.6,12.9,82.9,8.7,1.8,67,2,0.371885773287212,4.82,1.4411214953271,31.2581063553826,3,0,"Other"
"Belgium",2019,15.09,9.8,12.8,83.2,9.2,1.4,70,2,0.428102559467137,5.29,1.52424242424242,35.0563286944997,4,0,"Other"
"Belgium",2020,16.2,8.7,12.7,83.5,9.7,-5.7,73,2,0.616413386328556,7.5,1.84090909090909,46.2962962962963,5,1,"Other"
"Belgium",2021,16.01,7,12.6,83.8,10.2,6.2,76,2,0.819345413141613,9.01,2.25492957746479,56.2773266708307,6,1,"Other"
"Belgium",2022,16.032,11,12.5,84,10.7,3.2,79,2,0.373859768692833,5.032,1.44432432432432,31.3872255489022,7,1,"Other"
"Bulgaria",2015,30.6,33.8,10.9,48,4.8,3.5,38,3,-0.0991523597932531,-3.2,0.902654867256637,0,0,0,"High Divergence"
"Bulgaria",2016,30.2,32.1,10.7,48.5,5.3,3.9,41,3,-0.0608187400350393,-1.9,0.937888198757764,0,1,0,"High Divergence"
"Bulgaria",2017,29.6,30.5,10.5,49,5.8,3.8,44,3,-0.0298529631496813,-0.899999999999999,0.967320261437909,0,2,0,"High Divergence"
"Bulgaria",2018,30.84,29.2,10.3,49.5,6.3,3.1,47,3,0.0544623291218982,1.64,1.05255972696246,5.3177691309987,3,0,"High Divergence"
"Bulgaria",2019,30.12,27.8,10.1,50,6.8,3.4,50,3,0.0798772680172735,2.32,1.07956989247312,7.70252324037185,4,0,"High Divergence"
"Bulgaria",2020,32.93,24.3,9.9,50.5,7.3,-4.4,53,3,0.302833107103542,8.63,1.34959016393443,26.2071059823869,5,1,"High Divergence"
"Bulgaria",2021,32.41,21.6,9.7,51,7.8,7.6,56,3,0.4042354737694,10.81,1.49354838709677,33.3539031163221,6,1,"High Divergence"
"Bulgaria",2022,33.05,18.9,9.5,51.5,8.3,3.9,59,3,0.556603737465431,14.15,1.73947368421053,42.8139183055976,7,1,"High Divergence"
"Croatia",2015,27.7,5.3,14.3,58,5.3,2.4,44,4,1.63863706712636,22.4,5.12962962962963,80.8664259927798,0,0,"Other"
"Croatia",2016,27.1,4.9,14.1,58.5,5.8,3.5,47,4,1.69377906086785,22.2,5.42,81.9188191881919,1,0,"Other"
"Croatia",2017,26.5,4.6,13.9,59,6.3,3.4,50,4,1.73334870707164,21.9,5.63829787234043,82.6415094339623,2,0,"Other"
"Croatia",2018,27.43,4.2,13.7,59.5,6.8,2.9,53,4,1.856661296455,23.23,6.37906976744186,84.688297484506,3,0,"Other"
"Croatia",2019,26.43,3.9,13.5,60,7.3,3.5,56,4,1.89198180702976,22.53,6.6075,85.2440408626561,4,0,"Other"
"Croatia",2020,29.56,3.5,13.3,60.5,7.8,-8.1,59,4,2.10886549124772,26.06,8.21111111111111,88.1596752368065,5,1,"Other"
"Croatia",2021,29.01,3.2,13.1,61,8.3,13,62,4,2.1771592892851,25.81,8.79090909090909,88.9693209238194,6,1,"Other"
"Croatia",2022,29.67,2.9,12.9,61.5,8.8,6.3,65,4,2.29488888635958,26.77,9.89,90.2258173238962,7,1,"Other"
"Cyprus",2015,25.2,8.7,12.5,70,5.8,3.4,48,5,1.05605267424931,16.5,2.86363636363636,65.4761904761905,0,0,"Other"
"Cyprus",2016,24.3,8.3,12.3,70.5,6.3,6.7,51,5,1.06635142644989,16,2.89285714285714,65.843621399177,1,0,"Other"
"Cyprus",2017,23.7,7.9,12.1,71,6.8,5.2,54,5,1.09024403899759,15.8,2.9625,66.6666666666667,2,0,"Other"
"Cyprus",2018,24.64,7.5,11.9,71.5,7.3,5.2,57,5,1.18027311967206,17.14,3.2421052631579,69.5616883116883,3,0,"Other"
"Cyprus",2019,23.96,7.1,11.7,72,7.8,3.1,60,5,1.20646968452452,16.86,3.32777777777778,70.3672787979967,4,0,"Other"
"Cyprus",2020,26.57,6.4,11.5,72.5,8.3,-5.2,63,5,1.41173716129233,20.17,4.08769230769231,75.9126834776063,5,1,"Other"
"Cyprus",2021,26.21,5.8,11.3,73,8.8,6.6,66,5,1.49499674414053,20.41,4.44237288135593,77.8710415871805,6,1,"Other"
"Cyprus",2022,26.89,5.2,11.1,73.5,9.3,5.5,69,5,1.62775960647184,21.69,5.07358490566038,80.6619561175158,7,1,"Other"
"Czechia",2015,15.1,16.4,16.2,72,6.2,5.4,56,6,-0.0820649530543043,-1.3,0.915151515151515,0,0,0,"Other"
"Czechia",2016,14.9,15.7,16,72.5,6.7,2.5,59,6,-0.0519597389307109,-0.799999999999999,0.943037974683544,0,1,0,"Other"
"Czechia",2017,14.1,14.8,15.8,73,7.2,5.2,62,6,-0.0481192483441983,-0.700000000000001,0.946308724832215,0,2,0,"Other"
"Czechia",2018,13.61,13.9,15.6,73.5,7.7,3.2,65,6,-0.0209318360410355,-0.290000000000001,0.972142857142857,0,3,0,"Other"
"Czechia",2019,13.07,12.7,15.4,74,8.2,3,68,6,0.0284963448296183,0.370000000000001,1.02109375,2.8309104820199,4,0,"Other"
"Czechia",2020,14.22,10.2,15.2,74.5,8.7,-5.5,71,6,0.32951326629691,4.02,1.38058252427184,28.2700421940928,5,1,"Other"
"Czechia",2021,13.92,8.7,15,75,9.2,3.6,74,6,0.465733160122284,5.22,1.58181818181818,37.5,6,1,"Other"
"Czechia",2022,13.48,7.3,14.8,75.5,9.7,2.4,77,6,0.607118121920426,6.18,1.82162162162162,45.8456973293769,7,1,"Other"
"Denmark",2015,12.1,9.1,8.7,94,8.1,2.3,88,7,0.282232467684216,3,1.31521739130435,24.7933884297521,0,0,"Other"
"Denmark",2016,11.9,8.6,8.6,94.2,8.6,3.2,91,7,0.321583624127463,3.3,1.36781609195402,27.7310924369748,1,0,"Other"
"Denmark",2017,11.8,8.2,8.5,94.4,9.1,2.8,94,7,0.360282885314932,3.6,1.42168674698795,30.5084745762712,2,0,"Other"
"Denmark",2018,11.32,7.7,8.4,94.6,9.6,2.8,97,7,0.381242470532318,3.62,1.45128205128205,31.9787985865724,3,0,"Other"
"Denmark",2019,10.87,7.3,8.3,94.8,10.1,2.8,100,7,0.393684274077015,3.57,1.46891891891892,32.8426862925483,4,0,"Other"
"Denmark",2020,11.54,6.5,8.2,95,10.6,-2.1,103,7,0.567377793270912,5.04,1.74848484848485,43.6741767764298,5,1,"Other"
"Denmark",2021,11.23,5.9,8.1,95.2,11.1,4.9,106,7,0.63569460581186,5.33,1.87166666666667,47.4621549421193,6,1,"Other"
"Denmark",2022,10.98,5.4,8,95.4,11.6,3.8,109,7,0.700393589080713,5.58,1.99636363636364,50.8196721311475,7,1,"Other"
"Estonia",2015,26.2,4.2,8.9,86,6.7,1.8,82,8,1.8109539164842,22,6.09302325581395,83.969465648855,0,0,"Other"
"Estonia",2016,25.6,3.9,8.7,86.5,7.2,3,85,8,1.86019663078128,21.7,6.4,84.765625,1,0,"Other"
"Estonia",2017,25.1,3.6,8.5,87,7.7,5.6,88,8,1.9185111748672,21.5,6.78378378378378,85.6573705179283,2,0,"Other"
"Estonia",2018,24.23,3.3,8.3,87.5,8.2,3.7,91,8,1.96793472517332,20.93,7.12647058823529,86.3805200165085,3,0,"Other"
"Estonia",2019,23.45,3,8.1,88,8.7,4.3,94,8,2.02772370897133,20.45,7.56451612903226,87.2068230277186,4,0,"Other"
"Estonia",2020,25.12,2.5,7.9,88.5,9.2,-0.6,97,8,2.27212588550934,22.62,9.66153846153846,90.0477707006369,5,1,"Other"
"Estonia",2021,24.67,2.1,7.7,89,9.7,8.3,100,8,2.421175883137,22.57,11.2136363636364,91.487636805837,6,1,"Other"
"Estonia",2022,24.23,1.8,7.5,89.5,10.2,4,103,8,2.54985627062304,22.43,12.7526315789474,92.5711927362773,7,1,"Other"
"Finland",2015,12.3,6.5,12.3,93,7.5,0.5,86,9,0.630626823578611,5.8,1.86363636363636,47.1544715447154,0,0,"Other"
"Finland",2016,12.1,6.1,12.1,93.2,8,2.8,89,9,0.676886659688165,6,1.95161290322581,49.5867768595041,1,0,"Other"
"Finland",2017,11.7,5.8,11.9,93.4,8.5,3.2,92,9,0.693147180559946,5.9,1.98305084745763,50.4273504273504,2,0,"Other"
"Finland",2018,11.23,5.4,11.7,93.6,9,1.3,95,9,0.72270598280149,5.83,2.04181818181818,51.9145146927872,3,0,"Other"
"Finland",2019,10.76,5.1,11.5,93.8,9.5,1.1,98,9,0.736427688918408,5.66,2.06923076923077,52.6022304832714,4,0,"Other"
"Finland",2020,11.45,4.3,11.3,94,10,-2.3,101,9,0.965080896043587,7.15,2.60227272727273,62.4454148471616,5,1,"Other"
"Finland",2021,11.12,3.8,11.1,94.2,10.5,3,104,9,1.05672134695895,7.32,2.85128205128205,65.8273381294964,6,1,"Other"
"Finland",2022,10.87,3.4,10.9,94.4,11,1.6,107,9,1.14240130579177,7.47,3.10571428571429,68.721251149954,7,1,"Other"
"France",2015,13.8,14.1,11.4,80,9.8,1.1,64,10,-0.0213531244705689,-0.299999999999999,0.971830985915493,0,0,0,"Low Divergence"
"France",2016,13.3,13.5,11.3,80.3,10.3,1.1,67,10,-0.0148150857851408,-0.199999999999999,0.977941176470588,0,1,0,"Low Divergence"
"France",2017,12.8,12.9,11.2,80.6,10.8,2.4,70,10,-0.00772204609391025,-0.0999999999999996,0.984615384615385,0,2,0,"Low Divergence"
"France",2018,12.34,12.3,11.1,80.9,11.3,1.9,73,10,0.0032206147000422,0.0399999999999991,0.995161290322581,0.324149108589944,3,0,"Low Divergence"
"France",2019,11.87,11.6,11,81.2,11.8,1.8,76,10,0.0228146777661711,0.27,1.01452991452991,2.27464195450716,4,0,"Low Divergence"
"France",2020,12.76,9.8,10.9,81.5,12.3,-7.9,79,10,0.261586961668929,2.96,1.28888888888889,23.1974921630094,5,1,"Low Divergence"
