country_code,vat_gap,shadow_2022,online_avail_A1,cross_border_B1,mobile_C1,transparency_D1,eID_score
AT,1.0%,6.6%,98.9,77.6,98.8,59.8,86.9
BE,12.3%,16.0%,98.9,87.0,98.9,38.1,86.5
BG,8.6%,33.1%,97.8,75.4,98.1,19.0,86.8
CY,3.3%,23.9%,96.1,88.7,94.4,15.1,59.1
CZ,8.0%,13.5%,98.9,81.6,100.0,48.2,73.3
DE,9.7%,8.8%,99.8,75.2,100.0,29.9,76.0
DK,8.9%,9.7%,100.0,85.8,100.0,62.5,100.0
EE,10.3%,22.7%,99.7,99.8,100.0,92.6,97.3
EL,11.4%,20.93%,99.1,94.9,95.9,36.7,80.5
ES,7.6%,15.8%,100.0,85.3,100.0,58.7,89.1
FI,3.0%,10.8%,100.0,98.5,100.0,49.1,96.5
FR,5.6%,14.2%,99.3,62.9,92.5,41.4,76.6
HR,7.7%,29.7%,98.9,59.3,100.0,51.5,87.7
HU,7.4%,25.4%,99.9,87.9,99.6,62.1,90.7
IE,8.3%,10.1%,98.2,96.2,88.6,38.9,66.8
IT,15.0%,20.3%,98.3,84.5,80.0,21.6,83.0
LT,15.1%,22.4%,98.9,97.4,100.0,70.8,97.6
LU,0.18%,8.3%,100.0,100.0,100.0,83.3,80.7
LV,5.4%,19.9%,98.7,93.3,100.0,93.8,94.8
MT,24.2%,23.4%,100.0,100.0,100.0,100.0,98.1
NL,7.0%,8.2%,100.0,94.8,100.0,49.9,91.9
PL,16.0%,21.9%,96.5,80.0,88.8,39.6,91.1
PT,3.6%,15.7%,98.7,79.0,93.7,38.3,95.5
RO,30.0%,29.0%,96.6,53.1,95.9,29.8,47.7
SE,5.3%,10.8%,100.0,95.9,100.0,57.5,90.9
SI,4.9%,22.1%,99.0,82.5,94.4,71.8,86.7
SK,10.5%,13.1%,99.7,68.4,94.4,39.8,80.6
