country_code,vat_gap,shadow_2022,telecom_infra_2022,human_capital_2022
AT,1.0,6.6,0.8505,0.9070
BE,12.3,16.0,0.8294,0.9614
BG,8.6,33.1,0.7984,0.8221
CY,3.3,23.9,0.8800,0.8900
CZ,8.0,13.5,0.8456,0.9114
DE,9.7,8.8,0.8957,0.9446
DK,8.9,9.7,0.9795,0.9559
EE,10.3,22.7,0.8949,0.9231
EL,11.4,20.93,0.8206,0.9405
ES,7.6,15.8,0.8895,0.9072
FI,3.0,10.8,0.9127,0.9640
FR,5.6,14.2,0.8944,0.8784
HR,7.7,29.7,0.7711,0.8500
HU,7.4,25.4,0.7671,0.8345
IE,8.3,10.1,0.8287,0.9618
IT,15.0,20.3,0.7860,0.8606
LT,15.1,22.4,0.8636,0.9251
LU,0.18,8.3,0.9462,0.8245
LV,5.4,19.9,0.8378,0.9284
MT,24.2,23.4,0.9245,0.8734
NL,7.0,8.2,0.9620,0.9506
PL,16.0,21.9,0.8348,0.9033
PT,3.6,15.7,0.8201,0.8665
RO,30.0,29.0,0.7954,0.8090
SE,5.3,10.8,0.9580,0.9649
SI,4.9,22.1,0.8239,0.9439
SK,10.5,13.1,0.8328,0.8436
