country_code,vat_gap,shadow_2022,osi_2022
AT,1.0,6.6,0.8827
BE,12.3,16.0,0.6899
BG,8.6,33.1,0.7092
CY,3.3,23.9,0.7500
CZ,8.0,13.5,0.6693
DE,9.7,8.8,0.7905
DK,8.9,9.7,0.9797
EE,10.3,22.7,1.0000
EL,11.4,20.93,0.7753
ES,7.6,15.8,0.8559
FI,3.0,10.8,0.9833
FR,5.6,14.2,0.8768
HR,7.7,29.7,0.8108
HU,7.4,25.4,0.7465
IE,8.3,10.1,0.7796
IT,15.0,20.3,0.8659
LT,15.1,22.4,0.8347
LU,0.18,8.3,0.8319
LV,5.4,19.9,0.8135
MT,24.2,23.4,0.8849
NL,7.0,8.2,0.9026
PL,16.0,21.9,0.7929
PT,3.6,15.7,0.7954
RO,30.0,29.0,0.6814
SE,5.3,10.8,0.9002
SI,4.9,22.1,0.8666
SK,10.5,13.1,0.7260
