country_code,vat_gap,shadow_2022,staff_aging_change_18_23
AT,1.0,6.6,1.0
BE,12.3,16.0,-2.1
BG,8.6,33.1,3.5
CY,3.3,23.9,0.1
CZ,8.0,13.5,8.4
DE,9.7,8.8,-1.4
DK,8.9,9.7,-2.2
EE,10.3,22.7,3.3
EL,11.4,20.93,2.6
ES,7.6,15.8,0.1
FI,3.0,10.8,-5.4
FR,5.6,14.2,-4.4
HR,7.7,29.7,4.6
HU,7.4,25.4,4.5
IE,8.3,10.1,-9.9
IT,15.0,20.3,-5.1
LT,15.1,22.4,2.6
LU,0.18,8.3,0.2
LV,5.4,19.9,3.1
MT,24.2,23.4,NA
NL,7.0,8.2,-6.1
PL,16.0,21.9,-1.1
PT,3.6,15.7,5.2
RO,30.0,29.0,9.9
SE,5.3,10.8,3.0
SI,4.9,22.1,10.5
SK,10.5,13.1,0.2
