"geo","Year","GDP_per_Capita","Unemployment_Rate","Internet_Access","Agriculture_Share"
"AT",2021,45380,6.2,95,1.63195123962568
"BE",2021,43680,6.3,91.97,0.956728937537842
"BG",2021,10960,5.2,83.53,6.46113953325391
"CY",2021,27850,7.2,93.41,2.37423042924622
"CZ",2021,23430,2.8,89.31,3.55148909221206
"DE",2021,44910,3.6,91.88,1.22473753102647
"DK",2021,58640,5.1,96.14,2.0238052933922
"EE",2021,23650,6.2,91.82,3.8768587079893
"EL",2021,17350,14.7,85.07,4.46643254272256
"ES",2021,26090,14.9,95.92,3.98511016824312
"FI",2021,44890,7.7,96.56,2.97189303918573
"FR",2021,36920,7.9,93.33,2.1987221175149
"HR",2021,15070,7.5,86.09,4.78503315613526
"HU",2021,16090,4,90.78,5.11332069016472
"IE",2021,88070,6.2,97.5,1.52506962390714
"IT",2021,31160,9.5,90.49,2.85378501057852
"LT",2021,20190,7.1,86.55,5.47301932141402
"LU",2021,113920,5.3,99.18,0.363501940730701
"LV",2021,17130,7.6,91.15,7.16272557753424
"MT",2021,32210,3.8,90.54,1.13242140456204
"NL",2021,50850,4.2,98.56,2.53782737928327
"PL",2021,15770,3.4,92.42,3.26764223893802
"PT",2021,20800,6.7,87.34,3.4622254596785
"RO",2021,12590,5.6,88.74,6.06996405609275
"SE",2021,51260,8.9,93.23,1.85499264355554
"SI",2021,24690,4.8,93.04,1.96435298006627
"SK",2021,18730,6.8,89.96,3.42206815870984
