"Country","Year","InternetAccess","ShadowEconomy","FinalConsumption","StandardVAT","Urbanizare","VAB.Agriculture","CPI_Score","GDP_per_capita","Unemployment_rate","VAT_Gap","Governance","Cluster","Shadow_Center","VAT_Center","Region_Dummy","Shadow_C","Internet_C","Fiscal_Resilience_Index","Effective_Shadow","Geo_Code","Google_Cash_Index"
"Austria",2022,93.15,6.6,49,20,59.256,1.374751038,71,49640,4.8,3,1.464922786,"3",-11.0418518518519,-1.48148148148148,0,-11.0418518518519,1.167,0.407691854477931,0,"AT",70.9433962264151
"Belgium",2022,94.44,16,50.5,21,98.153,0.697006708,73,48060,5.6,11.04,1.227186441,"1",-1.64185185185185,-0.481481481481481,0,-1.64185185185185,2.45699999999999,1.73616442951659,0.0744662743983231,"BE",73.7547169811321
"Bulgaria",2022,87.31,33.1,57.5,20,76.363,3.71123769,43,13310,4.2,7.65,-0.271232963,"2",15.4581481481482,-1.48148148148148,1,15.4581481481482,-4.673,-2.54589636791928,0.985969802507465,"BG",66.1698113207547
"Croatia",2022,85.52,29.7,57.8,25,58.219,3.393120137,50,17540,6.8,12.03,0.58131361,"2",12.0581481481481,3.51851851851852,1,12.0581481481481,-6.46300000000001,-2.30918654675887,0.822073088566981,"HR",39.5283018867925
"Cyprus",2022,94,23.9,56.9,19,66.911,1.175794553,52,31560,6.3,-0.67,0.730335236,"1",6.25814814814815,-2.48148148148148,0,6.25814814814815,2.017,-0.663220047459216,0.420926753373305,"CY",71.188679245283
"Czechia",2022,91.48,13.5,47.6,21,74.377,2.076349755,56,26670,2.2,4.23,1.093418837,"1",-4.14185185185185,-0.481481481481481,0,-4.14185185185185,-0.503,-0.248529050792161,0.148315553594789,"CZ",64.8679245283019
"Denmark",2022,95.16,9.7,42.3,25,88.367,0.789585487,90,64430,4.5,8.63,1.990135074,"3",-7.94185185185185,3.51851851851852,0,-7.94185185185185,3.17699999999999,2.89453450311144,0,"DK",66.3018867924528
"Estonia",2022,92.41,22.7,51.1,20,69.609,2.435155582,74,27260,5.6,4.4,1.342632174,"1",5.05814814814815,-1.48148148148148,0,5.05814814814815,0.426999999999992,0.656644136849262,0.246404778867287,"EE",58.5471698113208
"Finland",2022,97.59,10.8,48.6,24,85.681,2.241343679,87,47890,6.8,5.22,1.754582405,"3",-6.84185185185185,2.51851851851852,0,-6.84185185185185,5.607,2.78839176718692,0.00304876543374814,"FI",73.7735849056604
"France",2022,92.25,14.2,51.8,20,81.509,1.763097195,72,38920,7.3,6.03,1.165212154,"1",-3.44185185185185,-1.48148148148148,0,-3.44185185185185,0.266999999999996,0.787204573099284,0.109529365385839,"FR",86.8679245283019
"Germany",2022,91.41,8.8,51,19,77.648,1.003958167,79,48340,3.1,4.32,1.289299607,"3",-8.84185185185185,-2.48148148148148,0,-8.84185185185185,-0.573000000000008,0.936994873864707,0.0294521963653249,"DE",82.7735849056604
"Greece",2022,85.49,20.93,69.6,24,80.357,3.75329561,52,19570,12.5,13.71,0.446967661,"2",3.28814814814815,2.51851851851852,1,3.28814814814815,-6.49300000000001,-1.6207592405037,0.442503431403912,"GR",64.9811320754717
"Hungary",2022,91.44,25.4,48.4,27,72.552,3.133662489,42,17550,3.6,2.31,0.533869922,"1",7.75814814814815,5.51851851851852,1,7.75814814814815,-0.543000000000006,-1.39439750922901,0.551431352357956,"HU",73.3584905660377
"Ireland",2022,87.481,10.1,24,23,64.183,1.098748839,77,100140,4.5,1.57,1.548570275,"3",-7.54185185185185,1.51851851851852,0,-7.54185185185185,-4.50200000000001,0.128321804183413,0.0662122061818437,"IE",76.6037735849057
"Italy",2022,91.45,20.3,57.9,22,71.657,1.890371751,56,33860,8.1,10.55,0.448645294,"1",2.65814814814815,0.518518518518519,1,2.65814814814815,-0.533000000000001,-0.956916291551122,0.360852206002523,"IT",56.4150943396226
"Latvia",2022,91.39,19.9,58.3,21,68.54,5.078001395,59,19130,6.9,5.05,0.691537678,"1",2.25814814814815,-0.481481481481481,1,2.25814814814815,-0.593000000000004,-0.721168192230276,0.32887343742806,"LV",46.7735849056604
"Lithuania",2022,87.71,22.4,57.1,21,68.465,3.927938291,62,23690,6,14.62,0.993961573,"2",4.75814814814815,-0.481481481481481,1,4.75814814814815,-4.27300000000001,-0.811239007933392,0.400424279941751,"LT",60.8301886792453
"Luxembourg",2022,97.64,8.3,30.2,16,91.881,0.242167478,77,117100,4.6,3.7,1.772227883,"3",-9.34185185185185,-5.48148148148148,0,-9.34185185185185,5.657,2.62882742648812,0.00308913214207994,"LU",17.2641509433962
"Malta",2022,93.39,23.4,42.4,18,94.875,0.77066255,51,33810,3.5,25.89,0.80408448,"2",5.75814814814815,-3.48148148148148,1,5.75814814814815,1.407,0.22352651813882,0.306880230546944,"MT",38.9433962264151
"Netherlands",2022,98.28,8.2,43.3,21,92.886,1.641947234,80,56140,3.5,7.89,1.578898668,"3",-9.44185185185185,-0.481481481481481,0,-9.44185185185185,6.297,2.68154661732879,0.00233055485171638,"NL",72.6981132075472
"Poland",2022,93.33,21.9,57.1,23,60.134,2.806069304,55,17520,2.9,8.4,0.258881956,"1",4.25814814814815,1.51851851851852,1,4.25814814814815,1.34699999999999,-1.31114329715361,0.440059977830546,"PL",87.2830188679245
"Portugal",2022,88.15,15.7,62,23,67.381,1.905436778,62,23300,6.2,1.3,1.001133561,"1",-1.94185185185185,1.51851851851852,0,-1.94185185185185,-3.833,-0.781875263017168,0.228796695206871,"PT",76.4339622641509
