Country,Year,ShadowEc,CPI_Score,Urban_Pop,VAT_Comp,VAT_Stand,VAT_Rever,Rule of Law,Governme,Control of,Political St,Regulatory,Voice and,GDP_per_(,Unemploy,Internet_A,Agriculture,Final_Consumption_PercGDP
Austria,2023,6.88,71,69.22654,1.024772,20,8.01,1.746565,1.326681,1.133653,0.727989,1.36137,1.411248,46171.3,5.1,94.98,5933.6,72.3
Belgium,2023,16.37,73,87.55149,12.26428,21,6.2700000,1.295375,1.037022,1.336844,0.403853,1.168225,1.325729,45291.9,5.5,94.48,4665.8,75
Bulgaria,2023,33.93,45,73.73227,8.577101,20,8.79,-0.00686,0.047112,-0.13772,0.341861,0.407897,0.388988,24284.8,4.3,88.5,2384.4,76.1
Croatia,2023,30.58,50,57.24316,7.695157,25,13.43,0.360606,0.712654,0.181929,0.597712,0.6439,0.569745,30029.1,6.1,89.56,2125.3,77.5
Cyprus,2023,24.34,53,66.67395,3.291435,19,9.5,0.62804,0.73774,0.332707,0.409627,0.778258,0.97457,37188.4,5.8,92.3,374.7,76.5
Czechia,2023,13.84,57,72.73524,8.045505,21,7.52,1.142184,1.114011,0.76781,0.967362,1.304489,1.076549,34664.5,2.6,92.8,6832.6,66.9
Denmark,2023,9.91,90,88.55264,8.853803,25,9.1,1.908936,2.015649,2.376053,0.850848,1.83952,1.664699,47539.5,5.1,96.09,3883.4,67.4
Estonia,2023,22.94,76,70.67701,10.27402,20,9.1,1.426389,1.26347,1.538122,0.660534,1.429644,1.219926,30583.4,6.4,93.22,658,73.9
Finland,2023,10.91,87,74.00625,3.002531,24,9.18,1.967046,1.738607,2.221517,0.713987,1.765149,1.632636,40048.5,7.2,96.78,6364,77
France,2023,14.39,71,78.78043,5.555592,20,7.26,1.180571,1.144626,1.184822,0.343698,1.153505,1.154601,37839.7,7.3,93.34,41967.3,78.8
Germany,2023,9.39,78,81.90344,9.741267,19,6.85,1.551208,1.185417,1.664166,0.5869892,1.456975,1.461386,45253.1,3.1,91.66,39204,74
Greece,2023,20.83,49,78.77463,11.36114,24,8.77,0.213159,0.148003,0.097847,0.239744,0.578935,1.012167,26294.5,11.1,86.9,8408.3,88.6
Hungary,2023,26.62,42,70.2923,7.435079,27,9.39,0.427085,0.372759,-4.98E-04,0.731892,0.318309,0.359529,29323,4.1,92.73,5764.2,69.9
Ireland,2023,9.99,77,64.11521,8.315416,23,3.9899999,1.633584,1.591146,1.575289,0.901912,1.749364,1.483456,83557.7,4.3,93.92,4444,39.5
Italy,2023,20.75,56,69.53815,15.0482,22,6.58,0.390359,0.611037,0.550129,0.583321,0.644032,1.115531,37759.7,7.7,91.89,39847.2,75.4
Latvia,2023,20.14,60,68.358631,5.411164,21,9.66,1.039861,0.696561,0.698114,0.591089,1.172223,0.993028,27195.5,6.5,93.07,1556.2,79
Lithuania,2023,22.6,61,68.57545,15.05636,21,8.01,1.267196,1.050121,0.781546,0.742112,1.338042,1.071113,33263.8,6.9,88.59,1855.8,73.5
Luxembourg,2023,8.66,78,94.80153,0.18581,16,6.51,1.752435,1.914213,1.926659,1.054002,1.929063,1.632663,93488.9,5.2,99.06,153.8,51.4
Malta,2023,23.49,51,95.62723,24.21402,18,6.14,0.702328,0.397335,0.109747,0.858122,0.687359,0.913655,41622.5,3.5,93.54,9.3,61.8
Netherlands,2023,8.38,79,95.32217,7.011792,21,7.1099999,1.642504,1.625532,1.8671,0.658282,1.790966,1.556264,49966.9,3.6,98.86,18393,70
Poland,2023,22.27,54,59.88596,15.97013,23,7.34,0.458741,0.421438,0.5654,0.559585,0.780194,0.626451,29572.1,2.8,93.3,20793.7,76.6
Portugal,2023,16.23,61,61.20487,3.603438,23,9.01,1.067665,0.98755,0.696312,0.712578,0.755357,1.211283,31045.2,6.5,89.01,5778,78.3
Romania,2023,30.14,46,52.16457,30.02022,19,6.6099999,0.437426,-0.09267,0.040495,0.373644,0.318901,0.50318,29431.7,5.6,92,10689.8,78.7
Slovakia,2023,13.79,54,53.19081,10.49023,20,8.01,0.603365,0.229512,0.292565,0.573219,0.601919,0.912476,28282.8,5.8,90.6,2626.1,78.7
Slovenia,2023,22.52,56,55.53789,4.881821,22,8.05,1.038808,1.039294,0.776647,0.818633,0.731422,1.079099,35052.2,3.7,93.72,981.2,70.8
Spain,2023,16.39,60,80.12849,7.649051,21,6.4,0.822886,0.752066,0.629369,0.287292,0.693764,1.19473,34514.7,12.2,96.45,39035,75
Sweden,2023,10.77,82,88.63122,5.333801,25,8.9,1.604023,1.601383,2.028246,0.758365,1.718017,1.574832,42892,7.7,94.87,6862.5,72
