country_code,vat_gap,shadow_2022,egdi_2022
AT,1.0%,6.6%,0.8801
BE,12.3%,16.0%,0.8269
BG,8.6%,33.1%,0.7766
CY,3.3%,23.9%,
CZ,8.0%,13.5%,0.8088
DE,9.7%,8.8%,0.877
DK,8.9%,9.7%,0.9717
EE,10.3%,22.7%,0.9393
EL,11.4%,20.93%,0.8455
ES,7.6%,15.8%,0.8842
FI,3.0%,10.8%,0.9533
FR,5.6%,14.2%,0.8832
HR,7.7%,29.7%,0.8106
HU,7.4%,25.4%,0.7827
IE,8.3%,10.1%,0.8567
IT,15.0%,20.3%,0.8375
LT,15.1%,22.4%,0.8745
LU,0.18%,8.3%,0.8675
LV,5.4%,19.9%,0.8599
MT,24.2%,23.4%,0.8943
NL,7.0%,8.2%,0.9384
PL,16.0%,21.9%,0.8437
PT,3.6%,15.7%,0.8273
RO,30.0%,29.0%,0.7619
SE,5.3%,10.8%,0.941
SI,4.9%,22.1%,0.8781
SK,10.5%,13.1%,0.8008
