country_code,vat_gap,shadow_2022,egdi_2022,online_avail_A1,transparency_D1,eID_score
AT,1.0%,6.6%,0.8801,98.9,59.8,86.9
BE,12.3%,16.0%,0.8269,98.9,38.1,86.5
BG,8.6%,33.1%,0.7766,97.8,19.0,86.8
CY,3.3%,23.9%,,96.1,15.1,59.1
CZ,8.0%,13.5%,0.8088,98.9,48.2,73.3
DE,9.7%,8.8%,0.877,99.8,29.9,76.0
DK,8.9%,9.7%,0.9717,100.0,62.5,100.0
EE,10.3%,22.7%,0.9393,99.7,92.6,97.3
EL,11.4%,20.93%,0.8455,99.1,36.7,80.5
ES,7.6%,15.8%,0.8842,100.0,58.7,89.1
FI,3.0%,10.8%,0.9533,100.0,49.1,96.5
FR,5.6%,14.2%,0.8832,99.3,41.4,76.6
HR,7.7%,29.7%,0.8106,98.9,51.5,87.7
HU,7.4%,25.4%,0.7827,99.9,62.1,90.7
IE,8.3%,10.1%,0.8567,98.2,38.9,66.8
IT,15.0%,20.3%,0.8375,98.3,21.6,83.0
LT,15.1%,22.4%,0.8745,98.9,70.8,97.6
LU,0.18%,8.3%,0.8675,100.0,83.3,80.7
LV,5.4%,19.9%,0.8599,98.7,93.8,94.8
MT,24.2%,23.4%,0.8943,100.0,100.0,98.1
NL,7.0%,8.2%,0.9384,100.0,49.9,91.9
PL,16.0%,21.9%,0.8437,96.5,39.6,91.1
PT,3.6%,15.7%,0.8273,98.7,38.3,95.5
RO,30.0%,29.0%,0.7619,96.6,29.8,47.7
SE,5.3%,10.8%,0.941,100.0,57.5,90.9
SI,4.9%,22.1%,0.8781,99.0,71.8,86.7
SK,10.5%,13.1%,0.8008,99.7,39.8,80.6
