Country,Year,InternetAccess,ShadowEconomy,FinalConsumption,StandardVAT,Urbanizare,VAB.Agriculture,CPI_Score,GDP_per_capita,Unemployment_rate,Value
Austria,2012,79.28,7.6,51.5,20,57.147,1.417681343,69,37570,5.2,0.0833
Austria,2013,80.86,7.5,51.6,20,57.336,1.277849921,69,37890,5.7,0.0965
Austria,2014,80.99,7.8,51.1,20,57.526,1.275558018,72,38640,6,0.0858
Austria,2015,82.42,8.2,50.4,20,57.715,1.143628542,76,39640,6.1,0.0805
Austria,2016,85.09,7.8,50.1,20,57.905,1.149282641,75,40690,6.5,0.0767
Austria,2017,88.79,7.1,50.3,20,58.094,1.199902031,75,41760,5.9,0.0781
Austria,2018,88.78,6.7,49.7,20,58.297,1.10911414,76,43360,5.2,0.0823
Austria,2019,89.91,6.1,49.2,20,58.515,1.044634137,77,44570,4.8,0.0671
Austria,2020,90.4,7.2,47.6,20,58.748,1.071381133,76,42650,6,0.0578
Austria,2021,95,6.9,47.6,20,58.995,1.215938484,74,45380,6.2,0.0259
Austria,2022,93.15,6.6,49,20,59.256,1.374751038,71,49640,4.8,0.03
Belgium,2012,77.71,16.8,51.5,21,97.744,0.844574695,75,34930,7.6,0.1516
Belgium,2013,80.05,16.4,51.8,21,97.789,0.764565478,75,35360,8.6,0.1344
Belgium,2014,82.8,16.1,51.4,21,97.833,0.716518219,76,36130,8.7,0.0984
Belgium,2015,81.83,16.2,51.3,21,97.876,0.750617272,77,36860,8.7,0.1291
Belgium,2016,84.79,16.1,51.3,21,97.919,0.673190544,77,37810,7.9,0.1118
Belgium,2017,85.97,15.6,51.5,21,97.961,0.729532583,75,38980,7.2,0.1246
Belgium,2018,87.27,15.4,51.6,21,98.001,0.664625571,75,40210,6,0.1219
Belgium,2019,89.73,15.1,50.9,21,98.041,0.718789584,75,41730,5.5,0.1307
Belgium,2020,90.86,16.2,49.2,21,98.079,0.712818024,76,40190,5.8,0.1349
Belgium,2021,91.97,16,48.9,21,98.117,0.654899385,73,43680,6.3,0.07
Belgium,2022,94.44,16,50.5,21,98.153,0.697006708,73,48060,5.6,0.1104
Bulgaria,2012,50.92,31.9,65.2,20,72.975,4.430140024,41,5820,13.3,0.1939
Bulgaria,2013,53.71,31.2,62,20,73.313,4.515416945,41,5870,13.9,0.1427
Bulgaria,2014,56.65,31,62.3,20,73.651,4.55871705,43,6080,12.4,0.2013
Bulgaria,2015,59.14,30.6,61.5,20,73.99,4.061975774,41,6560,10.1,0.1748
Bulgaria,2016,63.54,30.2,59.9,20,74.329,4.05489853,41,7070,8.6,0.1026
Bulgaria,2017,67.33,29.6,59.7,20,74.669,4.043176898,43,7720,7.2,0.0606
Bulgaria,2018,72.13,30.8,59.1,20,75.008,3.396683202,42,8340,6.2,0.0891
Bulgaria,2019,75.07,30.1,58.6,20,75.347,3.196164805,43,9250,5.2,0.0936
Bulgaria,2020,78.85,32.9,57.6,20,75.686,3.43289246,44,9440,6.1,0.0598
Bulgaria,2021,83.53,32.4,57.5,20,76.025,4.326921155,42,10960,5.2,0.0373
Bulgaria,2022,87.31,33.1,57.5,20,76.363,3.71123769,43,13310,4.2,0.0765
Croatia,2012,66.41,29,59.8,25,55.506,3.283690942,46,10540,16.1,0.125
Croatia,2013,64.58,28.4,59.7,25,55.706,3.437323781,48,10590,17.3,0.12
Croatia,2014,68.37,28,58.2,25,55.923,2.938534014,48,10560,17.3,0.115
Croatia,2015,76.71,27.7,56.7,25,56.155,2.963465867,51,10960,16.2,0.1092
Croatia,2016,77.34,27.1,55.9,25,56.403,3.05956715,49,11610,13,0.084
Croatia,2017,76.45,26.5,55.6,25,56.667,2.8900347,49,12430,11.1,0.0689
Croatia,2018,81.52,27.4,55.5,25,56.947,2.950857886,48,13310,8.3,0.0741
