"country","fixed_effect","avg_mimic","avg_vat_gap","avg_divergence","avg_admin","n_obs"
"Croatia",2.93535942569635,27.92,4.06,1.92,59.75,8
"Spain",2.62377716838413,16.73,2.42,1.94,77.75,8
"Estonia",2.50007224710955,24.82,3.05,2.1,87.75,8
"Slovenia",2.37128762981484,22,3.91,1.73,77.75,8
"Greece",2.23647668947041,21.74,22.59,-0.02,55.75,8
"Sweden",2.18051663496416,12.25,1.51,2.07,94.7,8
"Cyprus",2.08902080841973,25.18,7.11,1.27,71.75,8
"Portugal",1.75337625410555,16.31,7.22,0.83,75.75,8
"Finland",1.55229277094375,11.44,5.05,0.83,93.7,8
"Poland",1.43403394510491,22.3,19.18,0.18,69.75,8
"Italy",1.37143920016817,19.75,20.68,-0.03,63.75,8
"Czechia",1.36539905452751,14.05,12.46,0.15,73.75,8
"Belgium",1.26905852442828,15.83,10.3,0.44,83.04,8
"Hungary",1.21136845620044,21.49,11.11,0.69,62.25,8
"Lithuania",1.18803716262927,24.55,16.54,0.42,73.75,8
"Latvia",1.11893465850924,22.33,13.39,0.54,71.75,8
"Netherlands",1.08793167393845,8.25,5.15,0.49,93.7,8
"Ireland",1.07508393663499,10.68,9.15,0.18,89.04,8
"Austria",0.812602045991831,7.14,6.49,0.17,85.28,8
"Bulgaria",0.75960733071966,31.22,27.27,0.15,49.75,8
"Romania",0.754812687703841,27.92,30.51,-0.07,53.75,8
"Denmark",0.717333799952317,11.47,7.34,0.46,94.7,8
"Malta",0.548916785036241,22.82,28.52,-0.2,77.75,8
"Germany",0.530827887598356,11.16,8.6,0.28,91.7,8
"Slovakia",0.528727266411136,13.47,23.11,-0.51,67.75,8
"Luxembourg",0.504552369844244,8.61,6.88,0.24,92.7,8
"France",0.349630690149586,12.68,11.29,0.14,81.04,8
