"country","avg_mimic","avg_vat_gap","avg_divergence","avg_admin","n_obs"
"Estonia",24.82,3.05,2.1,87.75,8
"Sweden",12.25,1.51,2.07,94.7,8
"Spain",16.73,2.42,1.94,77.75,8
"Croatia",27.92,4.06,1.92,59.75,8
"Slovenia",22,3.91,1.73,77.75,8
"Cyprus",25.18,7.11,1.27,71.75,8
"Portugal",16.31,7.22,0.83,75.75,8
"Finland",11.44,5.05,0.83,93.7,8
"Hungary",21.49,11.11,0.69,62.25,8
"Latvia",22.33,13.39,0.54,71.75,8
"Netherlands",8.25,5.15,0.49,93.7,8
"Denmark",11.47,7.34,0.46,94.7,8
"Belgium",15.83,10.3,0.44,83.04,8
"Lithuania",24.55,16.54,0.42,73.75,8
"Germany",11.16,8.6,0.28,91.7,8
"Luxembourg",8.61,6.88,0.24,92.7,8
"Poland",22.3,19.18,0.18,69.75,8
"Ireland",10.68,9.15,0.18,89.04,8
"Austria",7.14,6.49,0.17,85.28,8
"Czechia",14.05,12.46,0.15,73.75,8
"Bulgaria",31.22,27.27,0.15,49.75,8
"France",12.68,11.29,0.14,81.04,8
"Greece",21.74,22.59,-0.02,55.75,8
"Italy",19.75,20.68,-0.03,63.75,8
"Romania",27.92,30.51,-0.07,53.75,8
"Malta",22.82,28.52,-0.2,77.75,8
"Slovakia",13.47,23.11,-0.51,67.75,8
