"country","pred_divergence_2023","mimic","vat_gap","forecast_nvt_share"
"Sweden",1.67640072167994,11.76,0.9,-434.627855504416
"Denmark",1.48466781138797,10.98,5.4,-341.349905511308
"Netherlands",1.44931614494571,7.89,3.2,-326.020015937265
"Estonia",1.4100272990477,24.23,1.8,-309.606722127939
"Latvia",1.3111111334806,21.67,7.9,-271.029405460801
"France",1.27668521251121,12.12,7.6,-258.473736699831
"Finland",1.27450899416532,10.87,3.4,-257.694467814676
"Luxembourg",1.24448482150473,8.23,4.6,-247.114607880748
"Hungary",1.21720112717069,20.98,6.5,-237.772068062479
"Slovenia",1.11922525244823,21.56,2.6,-206.248063457946
"Spain",1.09019471838684,16.34,1.4,-197.485327480131
"Ireland",1.08203480735612,10.12,5.9,-195.067750695031
"Lithuania",1.08130978160888,23.98,9.9,-194.85389651286
"Bulgaria",1.07886714879228,33.05,18.9,-194.134555609642
"Malta",0.990387566497379,22.67,19.7,-169.227770681564
"Slovakia",0.987579906320405,13.12,14.7,-168.472930754152
"Germany",0.915884710596139,10.65,5.6,-149.898515284367
"Romania",0.895274463916279,29.67,21.5,-144.800758701541
"Croatia",0.85911819496398,29.67,2.9,-136.107776520855
"Belgium",0.841495639762673,16.032,11,-131.983401941362
"Cyprus",0.827126042860539,26.89,5.2,-128.673730241271
"Portugal",0.816345369041043,15.87,4.8,-126.221714284892
"Poland",0.800137590953443,21.89,11.6,-122.584716385787
"Czechia",0.78072717303022,13.48,7.3,-118.30591501958
"Austria",0.775480122536421,7.05,3,-117.163452760102
"Italy",0.694142662395501,19.54,13.8,-100.199195498411
"Greece",0.383367826819935,23.21,14.9,-46.7217612814486
