country_code,vat_gap,shadow_2022,voice_accountability_2022
AT,1.0,6.6,1.29
BE,12.3,16.0,1.18
BG,8.6,33.1,0.28
CY,3.3,23.9,0.96
CZ,8.0,13.5,0.98
DE,9.7,8.8,1.36
DK,8.9,9.7,1.59
EE,10.3,22.7,1.26
EL,11.4,20.93,0.76
ES,7.6,15.8,0.98
FI,3.0,10.8,1.62
FR,5.6,14.2,1.08
HR,7.7,29.7,0.49
HU,7.4,25.4,-0.13
IE,8.3,10.1,1.36
IT,15.0,20.3,0.93
LT,15.1,22.4,1.03
LU,0.18,8.3,1.52
LV,5.4,19.9,0.97
MT,24.2,23.4,1.09
NL,7.0,8.2,1.48
PL,16.0,21.9,0.47
PT,3.6,15.7,1.08
RO,30.0,29.0,0.42
SE,5.3,10.8,1.58
SI,4.9,22.1,1.05
SK,10.5,13.1,0.85
