country_code,vat_gap,shadow_2022,enforcement_wgi_2022
AT,1.0,6.6,1.55
BE,12.3,16.0,1.15
BG,8.6,33.1,0.16
CY,3.3,23.9,0.82
CZ,8.0,13.5,0.96
DE,9.7,8.8,1.48
DK,8.9,9.7,1.95
EE,10.3,22.7,1.56
EL,11.4,20.93,0.39
ES,7.6,15.8,0.89
FI,3.0,10.8,1.93
FR,5.6,14.2,1.39
HR,7.7,29.7,0.44
HU,7.4,25.4,0.51
IE,8.3,10.1,1.51
IT,15.0,20.3,0.55
LT,15.1,22.4,1.05
LU,0.18,8.3,1.66
LV,5.4,19.9,1.04
MT,24.2,23.4,0.81
NL,7.0,8.2,1.77
PL,16.0,21.9,0.58
PT,3.6,15.7,1.05
RO,30.0,29.0,-0.16
SE,5.3,10.8,1.85
SI,4.9,22.1,1.12
SK,10.5,13.1,0.55
